t_s,ball_x_px,ball_y_px,setpoint_x_px,setpoint_y_px,err_x_m_window,err_y_m_window,servo1_deg,servo2_deg,servo3_deg
1.082656383514404297e+00,2.527962951660156250e+02,1.907592620849609375e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.013903137296438217e-03,8.404603227972984314e-03,1.949945151012867939e+01,4.031548316855975145e+01,4.305574228517212276e+01
1.113993167877197266e+00,2.526131439208984375e+02,1.908266448974609375e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.085253156721591949e-03,8.378352969884872437e-03,2.078724418395933782e+01,3.944952190509826551e+01,4.267003574022799484e+01
1.162554740905761719e+00,2.525000000000000000e+02,1.900000000000000000e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.129330791532993317e-03,8.700388483703136444e-03,1.938521053516519288e+01,3.993503249298437652e+01,4.355301206393102831e+01
1.194986820220947266e+00,2.522326660156250000e+02,1.893019866943359375e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.233475938439369202e-03,8.972313255071640015e-03,1.900231279765667836e+01,4.047852789028281251e+01,4.337437735201778821e+01
1.226916074752807617e+00,2.526208343505859375e+02,1.888012237548828125e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.082257557660341263e-03,9.167395532131195068e-03,1.935110974605435885e+01,3.910806684964121160e+01,4.441946093224941450e+01
1.258612632751464844e+00,2.527107238769531250e+02,1.879907531738281250e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.047239363193511963e-03,9.483130648732185364e-03,1.857926107796179238e+01,4.000686395222994918e+01,4.426095751673281598e+01
1.290908575057983398e+00,2.526458282470703125e+02,1.864270782470703125e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.072520580142736435e-03,1.009229104965925217e-02,1.684381225159683737e+01,4.110860189040439394e+01,4.480684705493350606e+01
1.322929620742797852e+00,2.526458282470703125e+02,1.854270782470703125e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.072520580142736435e-03,1.048186048865318298e-02,1.793117989810450652e+01,4.048286971485437391e+01,4.440322003231804615e+01
1.355087518692016602e+00,2.525193786621093750e+02,1.849224853515625000e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.121781490743160248e-03,1.067843474447727203e-02,1.895336309989086843e+01,4.023214765618925526e+01,4.367171998149458290e+01
1.387008905410766602e+00,2.515657958984375000e+02,1.842180480957031250e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.493268370628356934e-03,1.095286197960376740e-02,1.843677818745624108e+01,4.203334621581974062e+01,4.233566320373053316e+01
1.419697284698486328e+00,2.515657958984375000e+02,1.842180480957031250e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.493268370628356934e-03,1.095286197960376740e-02,1.995284775327862192e+01,3.960240375919385514e+01,4.333560695996514056e+01
1.450643777847290039e+00,2.519245147705078125e+02,1.828549804687500000e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.353522486984729767e-03,1.148387230932712555e-02,1.675760473922183280e+01,4.042999527360528589e+01,4.557173106374666816e+01
1.484033823013305664e+00,2.517417755126953125e+02,1.824021606445312500e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.424712318927049637e-03,1.166027691215276718e-02,1.879035542271135029e+01,4.047335187200084050e+01,4.358524125788407844e+01
1.514444112777709961e+00,2.522745056152343750e+02,1.817843170166015625e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.217176396399736404e-03,1.190096978098154068e-02,1.835711396260118278e+01,3.934886773857710551e+01,4.513546111891092494e+01
1.561850786209106445e+00,2.522745056152343750e+02,1.817843170166015625e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.217176396399736404e-03,1.190096978098154068e-02,1.968775500258667321e+01,3.967364987700375423e+01,4.352257573942982560e+01
1.594833850860595703e+00,2.520312500000000000e+02,1.808437500000000000e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.311941727995872498e-03,1.226738654077053070e-02,1.761332999353615492e+01,4.110311655264768405e+01,4.407983829332167147e+01
1.626552820205688477e+00,2.522333374023437500e+02,1.802333374023437500e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.233214702457189560e-03,1.250518485903739929e-02,1.819303275799297381e+01,4.002653459286992188e+01,4.461239164659209422e+01
1.658481359481811523e+00,2.520465087890625000e+02,1.807674407958984375e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.305997096002101898e-03,1.229711435735225677e-02,2.071875558128686379e+01,3.953103802439926540e+01,4.265494878538434875e+01
1.690688371658325195e+00,2.520214385986328125e+02,1.804187316894531250e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.315763875842094421e-03,1.243296079337596893e-02,1.878107644739171533e+01,4.017312708957439327e+01,4.389825443690247653e+01
1.722702503204345703e+00,2.520000000000000000e+02,1.810000000000000000e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.324115511029958725e-03,1.220651622861623764e-02,2.081843418312747929e+01,3.918644921063219755e+01,4.290586582738169596e+01
1.765880346298217773e+00,2.520312500000000000e+02,1.808437500000000000e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.311941727995872498e-03,1.226738654077053070e-02,1.929346274011277984e+01,3.984008472794153022e+01,4.373825035740986067e+01
1.795098543167114258e+00,2.522745056152343750e+02,1.817843170166015625e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.217176396399736404e-03,1.190096978098154068e-02,2.193924024799495953e+01,3.807074924457184295e+01,4.292176487441155075e+01
1.827074289321899414e+00,2.524489746093750000e+02,1.818061218261718750e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.149208940565586090e-03,1.189247518777847290e-02,1.967934335307541360e+01,3.931658386994350707e+01,4.389109073340313216e+01
